ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
774888,,1950,8,2,17442,MARMATO,CALDAS,EJE CAFETERO,DESCONOCIDA,AGENTE DEL ESTADO,POLICÍA NACIONAL,0,0,0,0,0,0,0,0,0,,,9,ND,POINT (-75.60999754 5.464539379)
774891,,1950,8,5,63302,GENOVA,QUINDIO,EJE CAFETERO,DESCONOCIDA,AGENTE DEL ESTADO,POLICÍA NACIONAL,0,0,0,0,0,0,0,0,0,,,5,ND,POINT (-75.789584 4.207537)
774922,,1957,5,0,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,SUR DEL VALLE,DESCONOCIDA,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,,40,ND,POINT (-76.57649259 3.399043723)
774923,,1954,5,9,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE INDISCRIMINADO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,,13,ARMA DE FUEGO,POINT (-74.1810727 4.316107698)
78037,,2003,5,21,08433,MALAMBO,ATLANTICO,NORTE DE ATLANTICO,SICARIATO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.80617555 10.84828864)
784936,,1949,9,23,68861,VELEZ,SANTANDER,PROVINCIA DE VELEZ,ASALTO,BANDOLERISMO,BANDOLERISMO LIBERAL,0,0,0,0,0,0,15,0,0,,,5,ND,POINT (-73.666299 6.010953)
784940,,1949,7,31,76250,EL DOVIO,VALLE DEL CAUCA,NORTE DEL VALLE,DESCONOCIDA,BANDOLERISMO,BANDOLERISMO LIBERAL,0,0,0,0,0,0,0,0,0,,,6,ND,POINT (-76.237084 4.510452)
784944,,1949,9,23,20011,AGUACHICA,CESAR,MAGDALENA MEDIO,INCURSIÓN,BANDOLERISMO,NO IDENTIFICADO,0,0,0,0,0,0,30,0,0,,,11,ND,POINT (-73.599399 8.309986)
784962,,1963,7,0,73408,LERIDA,TOLIMA,NORTE DEL TOLIMA,ASALTO,BANDOLERISMO,BANDOLERISMO CONSERVADOR,0,0,0,0,0,0,0,0,0,,,5,ND,POINT (-74.92337178 4.866034592)
784963,,1963,7,0,73408,LERIDA,TOLIMA,NORTE DEL TOLIMA,ASALTO,BANDOLERISMO,BANDOLERISMO CONSERVADOR,0,0,0,0,0,0,0,0,0,,,4,ND,POINT (-74.92337178 4.866034592)
