AÑO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,N_SIMPLE,N_EXTORSIVO,TOTAL,Población,Tasa_100k,Total Combatientes,Total de Víctimas del Caso,Asesinatos Selectivos,Victimas Masacre,AGENTE DEL ESTADO,AGENTE DEL ESTADO - GUERRILLA,CRIMEN ORGANIZADO,GRUPO ARMADO NO IDENTIFICADO,GRUPO PARAMILITAR,GRUPO POSDESMOVILIZACIÓN,GUERRILLA,AGENTE DEL ESTADO - GRUPO PARAMILITAR,Presencia,Intensidad,Categoría,Grupo de categoría,num_cai,avg_integrantes
1996,5,ANTIOQUIA,5690,SANTO DOMINGO,0,2,2,15260,13.10615989515072,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,46.0
1996,5,ANTIOQUIA,5697,EL SANTUARIO,1,6,7,27875,25.112107623318387,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,,
1996,5,ANTIOQUIA,5736,SEGOVIA,0,2,2,27051,7.393442016930983,10.0,12.0,30.0,14.0,6.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,3.0,139.0
1996,5,ANTIOQUIA,5756,SONSON,0,4,4,39855,10.0363818843307,4.0,5.0,29.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,1.0,51.0
1996,5,ANTIOQUIA,5761,SOPETRAN,3,2,5,13817,36.18730549323298,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,1.0,41.0
1996,5,ANTIOQUIA,5789,TAMESIS,0,3,3,19893,15.080681646810435,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,2.0,86.0
1996,5,ANTIOQUIA,5790,TARAZA,1,1,2,18810,10.63264221158958,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,2.0,27.0
1996,5,ANTIOQUIA,5790,TARAZA,1,1,2,18810,10.63264221158958,1.0,1.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,2.0,27.0
1996,5,ANTIOQUIA,5837,TURBO,0,2,2,89473,2.23531121120338,39.0,43.0,464.0,19.0,32.0,0.0,0.0,0.0,6.0,0.0,34.0,0.0,conflicto interrumpido,baja intensidad,Levemente afectados e interrumpido,4,8.0,143.0
1996,5,ANTIOQUIA,5847,URRAO,0,10,10,28599,34.9662575614532,19.0,19.0,69.0,9.0,7.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,conflicto interrumpido,alta intensidad,Fuertemente afectados e interrumpido,3,2.0,56.0
