AÑO,MUNICIPIO,N_SIMPLE,N_EXTORSIVO,TOTAL,Población,Tasa_100k,Total Combatientes,Total de Víctimas del Caso,Asesinatos Selectivos,Victimas Masacre,AGENTE DEL ESTADO,CRIMEN ORGANIZADO,GRUPO ARMADO NO IDENTIFICADO,GRUPO PARAMILITAR,GRUPO POSDESMOVILIZACIÓN,GUERRILLA,Grupo de categoría,num_cai,avg_integrantes,Presencia_Sin conflicto,Presencia_conflicto interrumpido,Presencia_conflicto pacificado,Intensidad_baja intensidad,Categoría_Fuertemente afectados y persistente,Categoría_Levemente afectados e interrumpido,Categoría_Levemente afectados y finalizado,Categoría_Levemente afectados y persistente,Categoría_Sin conflicto,victimas_pc,violencia_estruct,share_guerrilla,cobertura_cai,personal_pc,diff_guerrilla_param,TOTAL_lag1,TOTAL_roll3
1996,RIONEGRO,1,3,4,85755,4.664451052416769,4.0,4.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,13.0,258.0,0,0,1,1,0,0,1,0,0,0.0006063786368141799,12.0,0.25,0.00015159465920354498,0.003008570928808816,0.5,4.0,4.0
1996,RIONEGRO,1,3,4,85755,4.664451052416769,4.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,13.0,258.0,0,0,1,1,0,0,1,0,0,0.0001049501486793773,1.25,0.25,0.00015159465920354498,0.003008570928808816,0.5,4.0,4.0
1996,RIONEGRO,1,3,4,85755,4.664451052416769,3.0,3.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,6,13.0,258.0,0,0,1,1,0,0,1,0,0,0.00015159465920354498,2.5,1.6666666666666667,0.00015159465920354498,0.003008570928808816,0.8333333333333334,4.0,4.0
1996,RIONEGRO,1,3,4,85755,4.664451052416769,3.0,3.0,48.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,6,13.0,258.0,0,0,1,1,0,0,1,0,0,0.000594717509183138,12.0,1.6666666666666667,0.00015159465920354498,0.003008570928808816,0.8333333333333334,4.0,4.0
1996,RIONEGRO,1,3,4,85755,4.664451052416769,3.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,6,13.0,258.0,0,0,1,1,0,0,1,0,0,9.328902104833538e-05,1.25,1.6666666666666667,0.00015159465920354498,0.003008570928808816,0.8333333333333334,4.0,4.0
1996,SABANALARGA,0,2,2,8208,24.366471734892787,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10.0,1218.0,0,1,0,1,0,1,0,0,0,0.00024366471734892786,1.0,0.0,0.0012183235867446393,0.14839181286549707,0.0,0.0,2.0
1996,SABANALARGA,0,2,2,8208,24.366471734892787,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10.0,1218.0,0,1,0,1,0,1,0,0,0,0.00024366471734892786,1.0,0.0,0.0012183235867446393,0.14839181286549707,0.0,2.0,2.0
1996,SALGAR,0,3,3,21211,14.14360473339305,1.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4,1.0,51.0,0,1,0,1,0,1,0,0,0,0.000565744189335722,3.6666666666666665,1.0,4.714534911131017e-05,0.0024044128046768185,0.5,0.0,3.0
1996,SAN JERONIMO,2,4,6,12298,48.78842088144414,1.0,1.0,16.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,4,1.0,74.0,0,1,0,1,0,1,0,0,0,0.0017075947308505448,3.3333333333333335,1.0,8.13140348024069e-05,0.00601723857537811,0.0,0.0,6.0
1996,SAN JOSE DE LA MONTAÑA,1,0,1,2968,33.692722371967655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,32.0,0,0,1,1,0,0,1,0,0,0.0,0.0,0.0,0.00033692722371967657,0.01078167115902965,0.0,0.0,1.0
