FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,TIPO DELITO,CANTIDAD
09/02/1996,20,CESAR,20013,AGUSTIN CODAZZI,SECUESTRO EXTORSIVO,1
09/02/1996,05,ANTIOQUIA,05664,SAN PEDRO,SECUESTRO EXTORSIVO,1
10/02/1996,05,ANTIOQUIA,05030,AMAGA,SECUESTRO EXTORSIVO,1
10/02/1996,05,ANTIOQUIA,05030,AMAGA,SECUESTRO EXTORSIVO,1
12/02/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
12/02/1996,27,CHOCO,27001,QUIBDO,SECUESTRO EXTORSIVO,1
12/02/1996,05,ANTIOQUIA,05315,GUADALUPE,SECUESTRO EXTORSIVO,1
12/02/1996,81,ARAUCA,81001,ARAUCA,SECUESTRO EXTORSIVO,1
12/02/1996,81,ARAUCA,81001,ARAUCA,SECUESTRO EXTORSIVO,1
13/02/1996,47,MAGDALENA,47288,FUNDACION,SECUESTRO EXTORSIVO,1
13/02/1996,68,SANTANDER,68001,BUCARAMANGA,SECUESTRO EXTORSIVO,1
13/02/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
14/02/1996,25,CUNDINAMARCA,25807,TIBIRITA,SECUESTRO EXTORSIVO,1
14/02/1996,20,CESAR,20013,AGUSTIN CODAZZI,SECUESTRO EXTORSIVO,1
14/02/1996,68,SANTANDER,68001,BUCARAMANGA,SECUESTRO EXTORSIVO,1
14/02/1996,50,META,50150,CASTILLA LA NUEVA,SECUESTRO EXTORSIVO,1
14/02/1996,20,CESAR,20013,AGUSTIN CODAZZI,SECUESTRO EXTORSIVO,1
14/02/1996,41,HUILA,41551,PITALITO,SECUESTRO EXTORSIVO,1
15/02/1996,85,CASANARE,85410,TAURAMENA,SECUESTRO EXTORSIVO,1
15/02/1996,63,QUINDIO,63001,ARMENIA,SECUESTRO EXTORSIVO,1
15/02/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
16/02/1996,76,VALLE DEL CAUCA,76130,CANDELARIA,SECUESTRO EXTORSIVO,1
16/02/1996,44,LA GUAJIRA,44378,HATONUEVO,SECUESTRO EXTORSIVO,1
16/02/1996,20,CESAR,20228,CURUMANI,SECUESTRO EXTORSIVO,1
16/02/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
17/02/1996,50,META,50680,SAN CARLOS DE GUAROA,SECUESTRO EXTORSIVO,1
17/02/1996,66,RISARALDA,66001,PEREIRA,SECUESTRO EXTORSIVO,1
18/02/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO SIMPLE,1
19/02/1996,95,GUAVIARE,95015,CALAMAR,SECUESTRO EXTORSIVO,1
20/02/1996,05,ANTIOQUIA,05756,SONSON,SECUESTRO EXTORSIVO,1
21/02/1996,50,META,50006,ACACIAS,SECUESTRO EXTORSIVO,1
21/02/1996,05,ANTIOQUIA,05045,APARTADO,SECUESTRO EXTORSIVO,1
22/02/1996,15,BOYACA,15299,GARAGOA,SECUESTRO EXTORSIVO,1
22/02/1996,54,NORTE DE SANTANDER,54003,ABREGO,SECUESTRO EXTORSIVO,1
22/02/1996,66,RISARALDA,66088,BELEN DE UMBRIA,SECUESTRO EXTORSIVO,1
22/02/1996,11,BOGOTA D.C.,11001,BOGOTA D.C.,SECUESTRO EXTORSIVO,1
23/02/1996,25,CUNDINAMARCA,25885,YACOPI,SECUESTRO EXTORSIVO,1
24/02/1996,08,ATLANTICO,08421,LURUACO,SECUESTRO EXTORSIVO,1
24/02/1996,08,ATLANTICO,08421,LURUACO,SECUESTRO EXTORSIVO,1
25/02/1996,27,CHOCO,27361,ISTMINA,SECUESTRO EXTORSIVO,1
25/02/1996,27,CHOCO,27361,ISTMINA,SECUESTRO EXTORSIVO,1
25/02/1996,27,CHOCO,27361,ISTMINA,SECUESTRO EXTORSIVO,1
25/02/1996,27,CHOCO,27361,ISTMINA,SECUESTRO EXTORSIVO,1
25/02/1996,27,CHOCO,27361,ISTMINA,SECUESTRO EXTORSIVO,1
26/02/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
27/02/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
27/02/1996,76,VALLE DEL CAUCA,76895,ZARZAL,SECUESTRO EXTORSIVO,1
28/02/1996,47,MAGDALENA,47288,FUNDACION,SECUESTRO EXTORSIVO,1
28/02/1996,76,VALLE DEL CAUCA,76233,DAGUA,SECUESTRO EXTORSIVO,1
29/02/1996,19,CAUCA,19001,POPAYAN,SECUESTRO EXTORSIVO,1
29/02/1996,19,CAUCA,19001,POPAYAN,SECUESTRO EXTORSIVO,1
29/02/1996,23,CORDOBA,23570,PUEBLO NUEVO,SECUESTRO EXTORSIVO,1
29/02/1996,05,ANTIOQUIA,05045,APARTADO,SECUESTRO EXTORSIVO,1
01/03/1996,25,CUNDINAMARCA,25530,PARATEBUENO,SECUESTRO EXTORSIVO,1
01/03/1996,25,CUNDINAMARCA,25530,PARATEBUENO,SECUESTRO EXTORSIVO,1
01/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
02/03/1996,05,ANTIOQUIA,05411,LIBORINA,SECUESTRO EXTORSIVO,1
02/03/1996,47,MAGDALENA,47053,ARACATACA,SECUESTRO EXTORSIVO,1
02/03/1996,05,ANTIOQUIA,05172,CHIGORODO,SECUESTRO SIMPLE,1
03/03/1996,66,RISARALDA,66170,DOSQUEBRADAS,SECUESTRO EXTORSIVO,1
03/03/1996,05,ANTIOQUIA,05480,MUTATA,SECUESTRO EXTORSIVO,1
04/03/1996,76,VALLE DEL CAUCA,76001,CALI,SECUESTRO EXTORSIVO,1
04/03/1996,76,VALLE DEL CAUCA,76001,CALI,SECUESTRO EXTORSIVO,1
04/03/1996,76,VALLE DEL CAUCA,76001,CALI,SECUESTRO EXTORSIVO,1
05/03/1996,76,VALLE DEL CAUCA,76616,RIOFRIO,SECUESTRO EXTORSIVO,1
05/03/1996,05,ANTIOQUIA,05411,LIBORINA,SECUESTRO EXTORSIVO,1
06/03/1996,52,NARIÑO,52835,SAN ANDRES DE TUMACO,SECUESTRO EXTORSIVO,1
06/03/1996,52,NARIÑO,52835,SAN ANDRES DE TUMACO,SECUESTRO EXTORSIVO,1
06/03/1996,05,ANTIOQUIA,05197,COCORNA,SECUESTRO EXTORSIVO,1
06/03/1996,70,SUCRE,70001,SINCELEJO,SECUESTRO EXTORSIVO,1
07/03/1996,05,ANTIOQUIA,05690,SANTO DOMINGO,SECUESTRO EXTORSIVO,1
07/03/1996,47,MAGDALENA,47288,FUNDACION,SECUESTRO EXTORSIVO,1
08/03/1996,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,SECUESTRO EXTORSIVO,1
08/03/1996,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,SECUESTRO EXTORSIVO,1
09/03/1996,20,CESAR,20060,BOSCONIA,SECUESTRO EXTORSIVO,1
09/03/1996,47,MAGDALENA,47288,FUNDACION,SECUESTRO EXTORSIVO,1
09/03/1996,47,MAGDALENA,47288,FUNDACION,SECUESTRO EXTORSIVO,1
10/03/1996,44,LA GUAJIRA,44279,FONSECA,SECUESTRO EXTORSIVO,1
11/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
11/03/1996,05,ANTIOQUIA,05001,MEDELLIN,SECUESTRO EXTORSIVO,1
12/03/1996,15,BOYACA,15051,ARCABUCO,SECUESTRO EXTORSIVO,1
